Topic,Count,Name,Representation,Representative_Docs
44,32,44_sries_srie_pisodes_pisode,"['sries', 'srie', 'pisodes', 'pisode', 'des', 'suivi', 'liste', 'voir', 'series', 'catalogue']","[""merci de revoir les filtres car les séries suivie sont mélangées avec les séries notées !!! un filtre supplémentaire serait judicieux pour voir si des épisodes reste à voir sur nos séries suivie !!! j'ai perdu des séries de ma liste avec votre suppression par glissé !!! et pour finir vous n'êtes plus à jour sûr plusieurs séries à suivre !!!!"", 'bonjour. rien ne va plus depuis les dernieres mises à jour. gros probleme au niveau de notre catalogue de series qui a disparu! on voit maintenant que 20 series dans ce catalogue. alors que jen ai trois fois plus. notre catalogue a disparu (limiter à 20 series donc alors que j en ai 65 normalement). on vous fais confiance pour corriger ce probleme, merci.', ""allociné c'est cool ! en revanche l'équipe ui/ux vous foutez quoi ? on ne peut entre autre ni changer de pdp ni rechercher des critiques amateurs (super rs du coup) et la gestion des séries/films à voir/vu etc... est aux fraises ! exemple j'ai noté 4 fois the northman avant que l'appli (et le site) me le considère ne serait-ce que comme vu et archive81 est toujours dans ma rubrique des séries suivient (alors que j'ai bien décoché 18 fois la bonne case à l'annonce de son annulation) ! oh les gars""]"
45,31,45_nickel_transaction_merci_rapide,"['nickel', 'transaction', 'merci', 'rapide', 'emballage', 'produit', 'estampille', 'commercialcest', 'approuves', 'artisanale']","['nickel bien emballé', ""c'est nickel 👌"", 'nickel....']"
46,30,46_compte_bloqu_mon_raison,"['compte', 'bloqu', 'mon', 'raison', 'bloque', 'mail', 'me', 'je', 'jai', 'sans']","[""c'est devenu insupportable cette application à chaque annonce ils bloque mon compte je fait redebloquer par le service client. j'ai aucune idée de pourquoi mon compte est bloqué à chaque annonce que je poste sûrement leurs ia qui bloque automatiquement les comptes suspect. sa serait bien de le mettre à jour !!!"", ""si je pouvais mettre 0 étoiles je le verrai mon compte et ouvert depuis longtemps et là on me bloque mon compte sans savoir pourquoi j'ai reçu une réponse comme quoi mon compte restera bloqué car après sois disant vérification il y aurait de la contrefaçon dessus il y a que des vêtements d'enfants des jouets qui appartenait a mes enfants donc acheter en magasin et des vêtements acheté en ligne comme shien ou vertbaudet et on me dit que c'est de la contrefaçon je trouve sa honteux"", ""compte piraté sans même accéder à ma messagerie liée à mon compte leboncoin. personne avec qui parler, uniquement par mail. réouverture du compte mais rien ne fonctionne correctement et toujours personne en face. une annonce sur deux est un scam, une arnaque un piratage de votre compte pour vendre avec votre compte du moins dès que l'on sort du petit bibelot à 15/20 euros. leboncoin n'y est pour rien mais ils semblent largement dépassé par l'ampleur des brouteurs et scammeurs bien triste""]"
47,30,47_pubs_imdb_pub_site,"['pubs', 'imdb', 'pub', 'site', 'svp', 'qui', 'sur', 'web', 'mais', 'les']","[""a fuir, on ne peut pas noter les films, l'appli bug constamment, et s'ouvre toute seule quand vous faites une recherche sur google! de plus il y a de plus en plus de pubs et ça devient insupportable. heureusement qu'il y a imdb"", ""devient insupportable... après plus de 10 ans a consulter allociné, je baisse les bras. l'application est pourrie par les pubs (c'est normal que le site/appli est besoin de revenus pour vivre mais a ce niveau ça en devient indigeste. ajoutez à ça le nombre de bugs insupportables qui vous poussent à relancer les pages et les filmographies incomplètes et votre expérience en devient des plus désagréable. allez hop je vais combiner imdb et wikipédia et ça fera le taf. désinstallation, bye !"", ""- bourré de pubs et qui durent très longtemps - je sais pas si c'est mon cas mais en pleine recherche on a une page aliexpress qui se charge comme si on avait cliqué dessus alors que j'avais juste laissé mon doigt pour descendre la page, sans l'enlever... c'est très vicieux de votre part pour augmenter le nombre de clics sur les pubs - les fausses croix sur les pubs en haut à droite on croit que c'est pour quitter la page mais c'est juste un leurre pour entrer dans la pub - et beaucoup de bug!""]"
48,29,48_lente_lent_trs_peu,"['lente', 'lent', 'trs', 'peu', 'lenteur', 'trop', 'appli', 'mais', 'pub', 'plus']","['application très lente.', 'un peu lente mais intéressante', 'trop lente à télécharger']"
49,28,49_communication_bonne_ractif_recommande,"['communication', 'bonne', 'ractif', 'recommande', 'trs', 'excellente', 'ractivit', 'parfait', 'lenvoi', 'emball']","['très bonne communication', 'très bonne communication.', 'bonne communication, sérieux']"
50,26,50_rservation_places_tickets_rserver,"['rservation', 'places', 'tickets', 'rserver', 'billets', 'slectionne', 'impossible', 'on', 'acheter', 'siges']","[""j'utilise depuis quelques années de temps en temps, les bugs n'ont jamais été corrigés, pour consulter les films tout va bien, mais dès que vous entamez une réservation vous entrez en enfer : affichage non optimisé pour les téléphones (il manque le bas de la page..), ergonomie déplorable (on ne comprend pas à quel moment nos tickets sont validés, il faut faire plusieurs manipulations pour enregistrer complètement les cartes ciné sans avoir aucune indication de l'état de réservation...), etc..."", ""s'il est facile de trouver le film et les séances, la réservation devient vite un cauchemar si vous appuyez au mauvais endroit, lorsque vous revenez à l'écran de réservation vos places restent réservées mais pas pour vous, j'ai bloqué 25 places comme cela, en gros vous pouvez réserver toute la salle sans payer..."", 'il est impossible de réserver ses places depuis plusieurs semaines... tourne en boucle après avoir cliqué sur ""acheter mes billets""...']"
51,26,51_vendeur_emballage_produit_conforme,"['vendeur', 'emballage', 'produit', 'conforme', 'recommande', 'matriel', 'description', 'ractif', 'emball', 'bon']","['super vendeur, produit impeccable et emballage parfait', 'produit conforme à la description, très bien emballé, vendeur sérieux. parfait pour moi', ""produit conforme à l'annonce. produit très bien emballé et protégé. je recommande ce vendeur.""]"
52,25,52_date_lannonce_annonces_dates,"['date', 'lannonce', 'annonces', 'dates', 'parution', 'bas', 'publication', 'la', 'mise', 'lheure']","[""ce fut une bonne appli, malheureusement depuis quelques mise à jour elle est de moins en moins pratique à utiliser. dans la dernière mise à jour ils ont complètement supprimer la date de publication des annonces, avant on avait la date dans la liste des annonces, ensuite pour la date il fallait rentrer dans l'annonce et maintenant plus rien à part un popup qui nous propose des annonces similaires, les développeurs devraient utiliser l'appli pour se mettent à la place des utilisateurs."", 'depuis dernière mise à jour, la date et l\'heure des annonces ne sont plus affichées sur l\'entête. idem sur le site web : les dates et heures de publication ne sont plus affichées sur le résumé des annonces. pour moi c\'est pas une amélioration, bien au contraire... réponse du développeur : bonjour, la date de publication apparaît désormais en bas de l\'annonce concernée, dans l\'encart ""a propos de l\'annonce"". bonne recherche et à bientôt, l\'équipe leboncoin donc c\'est moins bien qu\'avant...', 'beaucoup mieux maintenant l\'on voit la date quand l\'on va sur l\'annonce, merci pour le changement. mais le top serait de remettre la date en première page des recherches. je monte la note 😉 ancien message ""franchement, pourquoi avoir retiré la date de parution au niveau du titre ? la galère pour vérifier la date de l\'annonce en bas, et la on s\'aperçoit qu\'elle a 5 ans. une perte de temps....""']"
53,24,53_pub_lapplication_fermer_ouvre,"['pub', 'lapplication', 'fermer', 'ouvre', 'page', 'navigation', 'la', 'depuis', 'que', 'le']","[""depuis les dernières mises à jour le nombre de pub à explosé. la navigation est sans arrêts interompu par des pubs que l'on ne peut pas fermer, au point que l'application en devient inutilisable. l'application donne plus l'impression d'être un jeu freemium. en l'état, je ne pourrais pas la recommander a qui que ce soit."", ""possible d'arrêter de mettre la page de pub pour le bon coin a chaque fois que l'on ouvre l'application ?"", ""a la base l'application était très sympa, agréable à naviguer mais depuis peu, il est devenu insupportable de l'utiliser. de la pub interminable, à l' ouverture et lors de la navigation. si on veut acheter du neuf (via la pub) , on ne va pas sur leboncoin....la pub est contreproductive sur ce site...""]"
54,21,54_horaires_application_bons_horaire,"['horaires', 'application', 'bons', 'horaire', 'tt', 'jamais', 'lapplication', 'embtant', 'dcevante', 'les']","[""appli nul de chez nul horaire pas fiable du tout par conséquent l'application n'a plus d'intérêt . quel coût pour un tel échec ? as t'elle été tester avant d etre mise en service cela m interpelle....incohérence entre les horaires données par l'application et les horaires affichées qui s'est vérifié 3 fois aujourd'hui ..merci par avance de faire le nécessaire"", 'inutile, les horaires sur cette application ne sont jamais les bons à quoi bon avoir une application pas fiable', ""une application assez décevante car les horaires affichés ne sont jamais bon et surtout ils sont totalement different de ceux affichés à l'arrêt. c'est dommage car avant la dernière maj l'application était plus tôt utile (malgré quelques beugs). il faudrait y remédier au plus tôt car venir 10 min trop tôt ou trop tard c'est gentil 2 fois mais au bout d'un moment c'est embêtant (surtout que l'application devrait nous éviter de sortir pour voir les horaires).""]"
55,19,55_recommande_vendeur_rapide_envoi,"['recommande', 'vendeur', 'rapide', 'envoi', 'soign', 'communication', 'conforme', 'trs', 'je', 'srieux']","['communication facile avec ce vendeur et envoi rapide. je recommande.', 'envoi rapide colis soigné je recommande ce vendeur', 'envoi rapide, très bien emballé. vendeur sérieux, je recommande 👍']"
